,0
cappadocia,1
capped,0
capri,0
capricorn,0
caprio,0
caps,0
capsule,1
capt,1
captain,13
caption,7
captioned,1
captions,0
captivatingly,0
captives,0
captivity,1
capture,4
captured,1
captures,0
capturing,0
car,17
cara,0
caracas,0
caramel,4
caravan,2
carbon,0
carbs,2
card,3
cardboard,0
cardenas,1
cardiff,0
cardinal,0
cardio,6
cards,2
cardz,1
care,82
cared,0
career,4
careers,1
carefree,2
careful,7
carefull,1
carefully,2
caregiver,0
careless,4
carer,1
cares,4
cargo,1
caribbean,3
caricature,1
caricatured,1
caricatures,1
carillo,0
carina,1
caring,0
carl,0
carlin,1
carlo,0
carlos,4
carlsbad,0
carlton,0
carly,1
carmel,0
carnage,0
carne,2
carnival,3
caro,2
carol,1
carole,1
carolina,17
carolinas,0
carolyn,0
carousel,0
carp,2
carpenter,1
carpet,0
carpets,4
carre,0
carrefour,1
carrey,0
carriage,0
carried,1
carrier,0
carriers,3
carries,1
carrillo,1
carrington,1
carrion,0
carroll,0
carrot,1
carrots,9
carry,3
carrying,1
carryout,0
cars,9
cart,0
carter,1
cartier,0
cartoon,5
cartoons,0
carts,1
cartwheel,0
caruso,0
carved,0
carwash,1
cary,0
caryl,0
casa,6
casablanca,0
casal,1
case,22
caseload,1
cases,198
cash,0
cashew,0
cashews,0
cashier,0
cashing,1
cashman,2
casino,0
casinos,1
cask,1
casket,0
cast,2
castaway,2
casted,0
caster,0
casters,0
casting,2
castle,3
castro,1
casts,0
casual,1
casualty,0
cat,15
catalina,1
catalog,0
catalogue,1
catalogues,0
catalunya,0
catalyst,0
catastrophe,0
catastrophic,0
catch,9
catcher,0
catches,0
catching,9
category,1
cater,0
catering,1
caterpillar,0
caters,1
cates,0
cathedral,1
catherine,1
catholic,0
catholics,0
cathy,3
catnaps,0
cats,12
catwalk,0
cau,0
caught,6
cauliflower,0
cause,40
caused,9
causes,2
causeway,0
causing,2
caution,7
cautious,3
cautiously,0
cavanaugh,0
cave,3
caveman,0
cavern,1
caves,0
cavity,1
cay,0
cayenne,0
cayman,1
cb,0
cbc,0
cbs,1
cc,4
cd,0
cdc,24
cds,1
ce,1
ceased,0
cecile,0
cedar,1
ceiling,0
celebrate,8
celebrated,4
celebrates,0
celebrating,3
celebration,3
celebrations,7
celebrities,0
celebrity,6
celebs,0
celery,3
cell,0
cellar,1
cells,1
celtic,1
cement,2
cemetery,2
census,0
cent,3
centaurs,0
centennial,0
center,25
centered,0
centering,0
centers,1
central,9
centre,10
centrepoint,0
centres,1
centrum,1
cents,0
centurion,2
century,3
ceo,9
ceos,1
ceramic,1
ceramics,1
cereal,1
cereals,1
cerebral,1
ceremonies,1
ceremony,1
cern,1
certainly,1
certainty,0
certificate,0
certificates,1
certified,3
cessna,1
cgi,1
ch,2
cha,1
chad,1
chadwick,1
chahta,0
chai,0
chain,13
chains,0
chair,1
chairman,0
chairs,0
chakra,2
chal,0
chale,0
chalet,0
chalk,2
challenge,201
challenged,1
challenges,6
challenging,7
chalo,0
chamber,2
chambered,1
chamberlain,0
chambers,1
champ,0
champagne,1
champion,3
champions,0
championship,0
championships,0
chan,1
chance,13
chancellor,1
chances,5
chand,1
chandler,6
chandra,2
chanel,0
change,17
changed,14
changes,5
changing,6
channel,19
channeling,0
channels,0
chanson,1
chant,0
chanting,0
chants,1
chaos,5
chaotic,17
chapa,0
chaplin,0
chapman,0
chapter,3
chapters,0
char,0
character,2
characteristics,0
characters,0
charcoal,0
charge,5
charged,1
charger,1
charges,2
charging,1
charitable,1
charities,1
charity,9
charlatan,1
charle,0
charles,11
charleston,1
charli,0
charlie,0
charlotte,2
charly,0
charmin,6
chart,5
charter,1
charting,0
chartreuse,1
charts,3
chase,2
chasers,0
chasing,4
chastity,0
chat,3
chatham,0
chats,1
chatsworth,0
chatted,0
chatting,2
chatty,0
chaudhary,2
chavez,0
chawla,0
che,1
cheadle,0
cheap,0
cheaper,1
cheapest,1
cheapo,1
cheaters,1
cheating,2
check,55
checked,3
checkers,1
checking,3
checklist,1
checkout,2
checkpoint,2
checkpoints,1
checks,0
cheddar,1
cheek,2
cheeks,1
cheeky,2
cheen,1
cheer,4
cheered,0
cheerful,1
cheerily,0
cheering,1
cheerleading,2
cheers,7
cheery,1
cheese,7
cheesecake,2
cheesy,1
cheetos,1
chef,11
chefs,0
chelsea,1
chemical,1
chemist,0
chemistry,0
chemists,0
chen,0
chennai,0
cheque,1
cherish,0
cherished,0
cherries,0
cherry,17
cheryl,0
chesapeake,0
cheshire,0
chess,0
chest,3
chester,0
chestnut,1
chevrolet,1
chevron,0
chevy,2
chewed,1
chez,0
chi,0
chia,1
chiang,4
chiaroscuro,0
chiba,0
chic,3
chica,1
chicago,22
chichester,0
chick,1
chicken,17
chickens,1
chicks,0
chief,11
chiefs,1
chieftain,1
chihuahua,2
chihuahuas,0
child,13
childhood,1
children,21
childs,0
chile,2
chili,2
chill,16
chillax,0
chilled,1
chillin,1
chilling,2
chillout,1
chilly,0
chime,1
chimes,0
chimney,0
chimpanzee,1
chin,0
china,48
chinatown,1
chinese,9
ching,0
chins,0
chip,6
chipper,0
chips,3
chirping,0
chiswick,0
chit,1
chitchat,0
chives,0
chlo,0
chlorine,2
choas,0
chock,1
choco,1
chocolat,0
chocolate,12
choice,3
choices,1
choir,1
choke,0
cholera,1
choo,0
choose,4
chop,2
chopped,1
chopper,4
chops,1
chord,0
choreographed,1
choreographer,2
choreography,2
chores,1
chorus,1
choruses,0
chose,3
chosen,1
chota,1
chow,1
chp,0
chris,6
christ,6
christi,0
christian,3
christianity,0
christians,0
christie,1
christina,0
christmas,2
christopher,0
chronic,1
chronicle,0
chronicles,6
chronicling,0
chronology,0
chubby,0
chuck,1
chucking,1
chuckle,0
chucks,0
chug,2
chugging,0
church,23
churches,0
churchill,0
chutney,0
cic,1
cider,1
cigar,3
cigarettes,1
cigars,3
cincinnati,13
cine,0
cinema,4
cinematic,2
cinematographer,0
cinematographers,1
cinematography,0
cinnamon,3
circle,5
circles,0
circling,1
circuit,2
circuitous,0
circuits,0
circular,1
circulate,1
circulated,0
circulating,1
circulation,1
circumstance,1
circumstances,3
circus,3
cirque,0
cite,1
cities,10
citizen,1
citizens,6
city,81
citycenter,1
cityscape,2
citywide,1
civic,0
civil,3
civilian,0
civilians,0
civilised,0
civilization,1
civilized,1
cj,0
ck,2
cking,1
cl,0
claiborne,0
claim,2
claimed,0
claiming,3
claims,4
clair,0
claire,0
clam,0
clamps,0
clams,1
clan,0
clanking,1
clanton,0
clap,3
clapping,1
claps,2
clara,1
clare,1
clarice,1
clarification,1
clarity,1
clark,0
clases,0
class,21
classed,0
classes,7
classic,6
classical,0
classics,0
classroom,4
classy,1
claus,1
claw,0
claws,3
clay,0
clayton,2
clean,30
cleaned,0
cleaner,2
cleaners,0
cleanest,0
cleaning,16
cleanliness,0
cleans,1
cleanser,1
cleanses,1
cleansing,5
cleanup,1
clear,22
clearance,2
cleared,2
clearing,0
clearly,3
clears,1
clearwater,3
cleaver,0
clerks,2
cleveland,3
clever,0
click,14
clicked,1
clicking,1
clicks,1
client,3
clientele,0
clients,4
cliff,1
clifford,0
cliffs,1
clifton,0
climate,3
climatic,0
climb,1
climbing,2
climbs,0
clinic,6
clinical,1
clinics,2
clink,0
clint,0
clinton,0
clip,1
clipper,1
clippers,2
clips,2
clive,1
clock,0
clocks,1
clockwise,0
cloned,2
clones,1
closed,45
closely,0
closer,2
closes,0
closest,2
closet,1
closeup,1
closing,8
closure,2
closures,2
clot,1
cloth,3
clothe,1
clothes,3
clothesline,0
clothing,2
cloths,1
cloud,4
clouding,0
clouds,17
cloudy,3
clout,1
clover,0
cloves,0
clovis,1
clown,0
club,17
clubbing,0
clubhouse,0
clubs,0
clue,0
cluster,3
clutch,0
clyde,2
cm,18
cnn,7
co,14
coach,6
coached,0
coachella,3
coaches,0
coaching,3
coahuila,2
coal,2
coalition,0
coarse,0
coast,10
coastal,0
coaster,3
coastline,0
coat,1
coating,1
cobbler,0
cobblestones,1
cobbs,1
cobra,2
coburn,0
cobwebs,0
cocaine,0
cock,1
cocked,0
cockroach,1
cockroaches,0
cocktail,14
cocktails,3
cocky,1
coco,0
cocoa,0
coconut,6
coconuts,0
cocoon,2
cod,3
code,37
codependent,0
codes,1
codfish,1
coding,1
cody,0
coercion,1
coexist,0
coexistence,0
coffee,24
coffees,1
coffin,1
coffins,1
cohabitation,0
coiffure,0
coil,0
coin,1
coincided,1
coincidence,0
coinciding,0
coined,1
coins,0
coke,1
col,4
colada,1
colby,0
cold,9
coldest,1
coldplay,1
coldwater,0
cole,1
coles,1
colin,1
coliseum,0
coll,1
collaborate,0
collaborated,0
collaboration,4
collaborative,0
collage,7
collapsing,1
collar,1
colleague,0
colleagues,0
collect,1
collected,1
collection,4
collections,0
collective,3
collectively,0
collector,2
collectors,0
college,10
collier,0
collins,1
collision,0
cologne,3
colombia,1
colombian,0
colombo,1
colonel,1
colonial,1
colonoscopy,1
colony,3
color,4
colorado,12
colored,0
colorful,1
coloring,2
colorist,0
colors,7
colour,9
coloured,0
colourful,0
colouring,0
colours,3
columbia,7
columbine,0
columbus,3
column,1
com,14
comb,2
combat,7
combating,1
combination,3
combine,2
combined,0
combines,0
combing,0
combo,3
combs,0
comcast,2
comdey,0
come,75
comeback,1
comedian,6
comedians,1
comedic,1
comedy,35
comeon,1
comes,13
comet,1
comfort,7
comfortable,1
comfortably,0
comforting,1
comforts,0
comfy,3
comic,2
comical,1
comicbook,0
comiccon,0
comics,7
comin,0
coming,51
comingsoon,12
command,3
commander,1
commandments,2
commando,0
commemorate,0
commenced,0
commencing,0
comment,21
commentary,1
commenting,1
comments,6
commerce,0
commercial,3
commercials,0
comming,0
commission,1
commissioned,0
commissioner,0
commissions,2
commit,0
commitment,2
commitments,1
committed,4
committee,1
commodities,0
commodity,0
common,6
commonly,1
commotion,0
communal,1
commune,0
communicate,2
communicating,1
communication,5
communications,1
communicator,0
communion,0
communities,4
community,29
commute,6
commuter,1
commuters,1
commuting,0
como,0
companies,3
companion,0
companions,1
company,15
compare,2
compared,1
comparison,1
compass,0
compassion,1
compassionate,0
compelling,0
compels,0
compensation,1
compete,0
competing,0
competition,9
compilation,0
compiled,1
complacency,0
complain,0
complaining,3
complaints,1
complement,0
complemented,0
complete,39
completed,3
completely,3
completing,0
completion,0
complex,2
complexion,0
complexities,1
compliance,5
complicated,0
complications,3
complicit,1
complied,1
compliment,1
complimentary,0
compliments,1
comply,1
complying,0
composed,0
composer,0
composition,2
compost,2
compound,1
compounds,0
comprehend,0
comprehensive,0
compromise,0
compromised,0
compton,1
compulsion,0
compulsory,0
computer,3
computers,1
comrade,0
comrades,0
con,3
conceive,0
concept,3
concepts,0
concern,1
concerned,3
concerns,5
concert,5
concerts,1
concluded,0
conclusion,0
conclusions,0
concoction,1
concord,5
concrete,0
concussion,0
condensation,1
condition,3
conditioning,0
conditions,6
condo,4
condolences,3
condom,0
condominium,0
condoms,1
conducive,0
conduct,4
conducted,1
conductor,0
cone,1
cones,0
conestoga,0
coney,1
confectionery,0
conference,3
conferences,0
confess,1
confessed,0
confessions,0
confetti,0
confidence,1
confident,0
confidential,1
confine,1
confined,4
confinement,14
confines,0
confirm,0
confirmatory,0
confirmed,19
confirms,3
conflict,0
conflicting,1
conflicts,0
confluence,0
confront,1
confronted,0
confronting,0
confucius,1
confuse,0
confused,1
confusion,1
congested,0
congo,0
congradulations,0
congrats,0
congratulations,1
congregating,0
congregation,0
congress,2
congresswoman,0
conjugal,0
conjunction,0
conjures,1
conjuring,1
conley,1
connect,4
connected,5
connecticut,7
connecting,1
connection,2
connections,0
connects,2
connor,1
conquer,1
conquerers,0
cons,1
conscious,1
consciously,0
consciousness,0
consent,1
consequence,1
consequences,2
conservation,0
conservatives,1
consider,7
considerate,0
consideration,0
considered,4
consignment,1
consist,0
consistency,5
consistent,1
consistently,0
consisting,1
consists,1
consolation,0
consolidate,0
conspiracies,1
conspiracy,5
constable,1
constant,1
constantly,1
constituency,0
constituents,0
constitutes,0
constitutional,0
constructed,0
construction,11
consult,4
consultancy,0
consultant,1
consultants,0
consultation,16
consulting,0
consults,1
consume,3
consumed,0
consumerist,0
consumes,1
consumption,0
cont,10
contact,29
contacted,0
contacting,1
contacts,1
contagion,6
contagious,10
contain,7
contained,0
container,3
containing,0
containment,0
contains,0
contaminated,1
contamination,4
contemplating,1
contemplation,1
contemporary,4
contend,0
contender,0
content,7
contented,0
contentment,0
contest,3
contestants,0
contests,0
context,0
continent,0
continental,0
continuation,2
continue,18
continued,2
continues,14
continuing,7
continuity,1
continuous,6
continuously,1
contortion,0
contours,0
contraception,1
contraceptive,1
contract,3
contracted,3
contracting,7
contraction,2
contractor,1
contracts,0
contradicted,1
contrary,1
contrast,1
contrasting,0
contribute,1
contributed,1
contributes,0
contributing,0
contribution,1
contributions,2
control,19
controlled,3
controller,2
controlling,0
controls,1
controversial,1
controversy,0
convenience,1
convenient,0
convention,2
conventional,0
conversation,2
conversations,0
converse,2
convert,1
converted,0
conveyance,1
conveys,0
convict,0
convince,0
convinced,1
convo,0
convoy,0
conway,1
coo,1
coochie,0
cook,8
cookbook,0
cooke,0
cooked,2
cooker,0
cookie,2
cookies,8
cooking,25
cooks,0
cool,15
cooled,1
cooler,1
coolest,0
coop,0
cooped,1
cooper,0
cooperate,3
cooperating,0
cooperation,0
coordinate,2
coordinated,0
coordination,0
coordinator,2
cop,2
cope,2
coped,1
copeland,1
copenhagen,2
copied,1
copies,1
coping,4
copley,1
copper,2
coppin,1
coppy,1
cops,0
copter,1
copy,2
copying,0
copyright,0
copyrights,0
cor,0
coral,0
corbett,0
cordial,0
cordova,0
core,1
corina,1
corinthians,2
cork,0
corks,0
corn,2
cornbread,2
cornea,1
cornell,0
corner,4
cornered,0
corners,0
cornish,0
corns,0
cornwall,3
corolla,5
corona,3436
coronado,0
coronal,3
coronation,1
coronel,0
corp,0
corporate,2
corporation,1
corporations,1
corps,0
corpus,0
correct,1
correction,1
corrections,0
correctly,0
correlation,1
correspondence,0
correspondent,0
corridor,1
corrosive,0
corrupt,0
corruption,0
cortez,0
corvette,1
cory,1
cosa,0
cosby,0
cosmetic,3
cosmetics,0
cosmic,1
cosmos,0
cosplay,0
cost,2
costa,8
costco,0
costs,0
costume,2
cosway,1
cotswolds,0
cottage,3
cottages,0
cotton,3
couch,5
couches,0
cough,8
coughing,6
coughs,2
council,5
counsel,0
counseling,1
counselling,0
count,7
countdown,9
counter,1
counterbalance,0
countering,1
counters,1
counties,0
counting,4
countless,0
countries,7
country,59
countrymen,2
countryside,4
counts,330
county,18
couple,11
coupled,1
couples,1
coupon,4
courage,4
courageous,0
courageously,0
course,10
courses,2
court,3
courtenay,0
courtesy,5
courts,1
courtship,0
cousin,1
cousins,1
cousteau,0
couture,0
cove,1
covenant,3
covent,0
cover,15
coverage,4
covered,11
covergirl,1
covering,5
coverings,1
covers,1
covet,0
cow,1
coward,1
cowardly,0
cowboy,1
coworker,1
coworkers,0
cows,1
coyotes,0
coz,4
cozy,3
cp,0
cpa,0
cpr,0
cpu,1
cr,2
crab,2
crabs,0
crack,0
cracked,0
cracker,0
crackers,0
crackheads,0
crackin,0
cracking,1
craft,3
crafted,0
crafting,0
crafts,2
crafty,0
craig,1
craigs,0
cram,0
cranberry,0
crane,1
crank,0
cranky,1
cranston,0
crap,2
crappy,1
crash,0
crashed,1
crashes,0
crated,0
crave,1
craven,0
craving,2
cravings,3
crawford,0
crawl,1
crawley,1
crawling,1
cray,3
crayon,0
crayons,2
craze,1
crazed,1
craziest,0
craziness,7
crazy,20
cream,7
creamery,0
creased,0
create,16
created,10
creates,2
creating,5
creation,1
creations,1
creative,30
creatively,0
creativity,11
creator,1
creators,0
creature,0
creatures,1
credibility,1
credit,7
credits,4
creds,1
cree,1
creek,20
creeping,1
creepy,0
creighton,0
cremation,0
creme,2
crepe,0
crescent,0
crest,0
cretaceous,0
crete,0
crew,5
crews,0
crib,1
cricket,1
cried,0
crime,2
crimes,0
criminal,2
criminals,0
crimp,1
cringe,0
crises,0
crisis,50
crisp,0
crispy,0
cristiano,1
criteria,1
criterion,0
critical,3
critically,1
criticism,1
critics,0
croatia,6
croatian,1
crochet,2
crocheted,1
crocheting,1
crocs,0
croes,0
croix,0
crone,0
cronies,0
crooks,1
crooner,0
crooners,0
crooning,0
crop,1
crops,0
croquet,1
crore,0
crorepati,1
crores,2
cross,15
crossed,0
crossing,3
crossover,0
crow,1
crowd,2
crowded,3
crowds,2
crowed,0
crown,6
crowned,0
crowning,2
croydon,2
crucial,4
crucifixion,1
cruel,0
cruella,0
cruise,3
cruiserweight,0
cruises,1
cruiseship,1
cruising,1
crumbling,0
crunch,1
crusade,1
crush,3
crushed,1
crushing,1
crust,1
crusty,0
cruz,2
cry,1
crying,1
crypt,1
cryptic,1
crypto,0
crystal,1
crystals,0
cs,2
cst,4
ct,3
ctr,0
cub,0
cuba,0
cuban,0
cube,2
cubes,1
cubs,0
cucamonga,0
cuckoo,1
cucumber,2
cucumbers,0
cud,1
cuddle,0
cuddles,1
cuddling,0
cuddly,0
cue,2
cuisine,0
cul,0
culinary,2
cullinan,1
culpable,1
cult,1
cultivate,0
cultivation,0
cultural,0
culture,7
culver,0
cum,0
cumberland,0
cumming,2
cummings,0
cuomo,9
cup,4
cupboard,3
cupboards,1
cupcake,0
cupcakes,4
cuppa,0
cupping,0
cups,0
curacao,3
curb,4
cure,23
cured,2
cures,1
curfew,69
curfews,0
curie,0
curing,0
curiosities,1
curiosity,0
curious,1
curl,0
curls,1
current,52
currently,17
curriculum,0
curry,5
curse,2
curtail,1
curtailing,1
curtain,0
curve,16
curved,1
curves,0
curving,0
curvy,0
cus,1
cushioned,0
cuss,0
custard,1
custom,7
customer,3
customers,15
customization,0
customized,0
cut,12
cute,8
cuteness,1
cutest,1
cutie,1
cutler,0
cutlet,0
cuts,2
cutting,0
cuz,7
cv,0
cvs,2
cya,0
cyber,0
cycle,5
cycles,0
cyclical,0
cycling,8
cyclist,0
cyclists,0
cylinder,1
cynical,1
cynthia,1
cypher,0
cyprus,0
cyrus,0
czech,0
d,198
da,8
daal,0
dab,1
dabbles,0
dachshund,0
dad,6
dada,0
daddy,4
dadgum,0
dads,3
daffodils,3
dag,1
dagobah,0
dahlia,0
daily,33
dairy,2
daisy,0
dakar,1
dakota,1
dal,3
dalek,0
daleks,1
dales,0
dalian,0
dallas,13
daly,1
dam,1
damage,5
damaged,1
damages,0
damaging,0
daman,0
dame,1
damien,0
damm,1
dammit,0
damn,21
damned,1
damnit,0
dampen,2
dampener,1
damsel,0
dan,2
dana,0
danbury,0
dance,21
dancefloor,0
dancehall,6
dancer,1
dancers,0
dances,0
dancin,0
dancing,3
dandelion,1
dandelions,0
dandia,0
dang,1
danger,12
dangerous,7
dangerously,0
dani,1
daniel,2
danielle,1
daniels,0
dank,2
danke,0
danni,0
danny,1
dans,1
danson,1
dany,0
danzig,2
dapper,0
dar,8
dard,1
dari,0
darin,0
dark,6
darker,1
darkest,0
darkness,3
darkwave,0
darling,1
darn,0
darnedest,1
darr,0
darshan,1
dart,2
dartmouth,0
darts,0
daryl,0
das,2
dash,1
dat,4
data,74
date,13
dates,2
dating,1
datta,1
daughter,9
daughters,1
dave,1
davenport,1
david,0
davidson,1
davie,1
davis,0
dawg,2
dawn,3
dax,2
day,455
dayal,0
daybreak,0
daydreaming,0
daylight,1
daylights,0
dayo,0
days,224
daytime,1
dayton,0
daytona,1
dayu,0
dbz,3
dc,8
dde,2
ddr,1
de,22
deacon,0
dead,132
deadliest,2
deadline,0
deadly,15
deaf,2
deafening,1
deal,12
dealer,0
dealing,7
deals,2
dean,1
dear,27
dearest,2
dearly,2
death,34
deathbed,1
deathrow,1
deaths,123
deathtrap,0
deb,0
debate,2
debating,0
debbie,0
debilitating,1
deborah,2
debra,1
debt,0
debts,0
debunks,1
debut,1
debuted,0
debuts,0
dec,0
decade,0
decades,0
decal,1
decays,1
deceased,1
december,1
decent,1
deceptive,0
decide,3
decided,24
decides,0
deciding,0
decision,8
decisions,1
deck,4
decks,0
declan,1
declaration,0
declarations,0
declare,1
declared,5
declares,1
decline,1
declining,0
deconstructed,1
decontamination,0
decor,1
decorate,3
decorated,1
decorating,1
decoration,1
decorative,4
decrease,1
decreased,1
decree,1
decries,0
dedicate,0
dedicated,5
dedication,3
deduced,0
dee,0
deeds,0
deejay,0
deemed,2
deen,0
deep,6
deepak,3
deepening,0
deeper,1
deepest,0
deeply,4
deer,1
deerfield,1
deers,1
deets,0
deez,0
def,1
defacto,1
defeat,5
defeated,0
defeating,0
defeats,0
defect,1
defence,5
defend,0
defended,1
defender,3
defends,1
defense,2
defensive,0
deferred,0
deff,0
defibrillator,0
deficits,1
define,1
defined,1
defines,0
definite,1
definitely,8
definition,1
deftly,0
defying,1
degenerate,0
degeneres,1
degi,0
degradable,2
degree,1
degrees,3
dehli,0
dehumanization,0
dei,1
deja,0
dejavu,0
dekh,0
dekho,0
del,17
delaware,1
delay,1
delayed,0
delaying,0
delays,3
delhi,8
deli,1
delicacy,0
delicate,1
delicatessen,1
delicious,7
delight,0
delighted,2
delightful,0
deliver,6
deliverance,0
delivered,6
deliveries,1
delivering,6
delivers,1
delivery,27
dell,1
della,2
delorean,1
delta,7
deluxe,0
delve,0
dem,8
demand,7
demanded,0
demanding,0
demands,0
dementia,0
demo,2
democracy,2
democrat,2
democratic,2
democrats,0
demon,0
demonic,0
demonize,1
demonized,1
demonizing,0
demons,2
demonstrate,2
demonstrating,0
demonstration,2
demos,0
demoted,1
den,0
denali,1
denial,21
denials,0
denied,1
denim,0
denmark,24
dennis,0
densely,0
dental,4
dentist,0
dentistry,0
dentists,0
denton,1
dentro,0
denver,14
deo,0
departed,0
department,7
departments,1
departure,0
departures,0
depend,1
depending,0
depends,1
depletion,0
deployed,0
depot,1
depressed,2
depressing,1
depression,2
depressions,0
depsite,1
dept,2
depth,0
deputy,1
der,0
derail,0
derby,1
derbyshire,0
dere,0
derek,1
derelict,1
derives,1
derr,0
derry,0
des,3
desaturated,0
descent,1
describe,0
described,1
describes,1
description,3
descriptive,1
desert,6
deserted,4
desertscape,0
deserve,1
deserved,0
deserves,1
deserving,1
desh,2
desi,0
design,17
designed,2
designer,6
designers,1
designs,2
desirable,0
desire,4
desist,0
desk,5
desolate,1
desolation,0
despair,1
desperate,2
desperately,0
desperation,0
dessert,3
desserts,2
destination,3
destinations,0
destined,0
destiny,1
destitution,1
destroy,2
destroyed,1
destroying,1
destruction,1
det,0
detail,2
detailed,1
details,9
detected,1
detecting,1
detection,1
detective,1
detector,0
detention,0
detergent,1
detergents,0
determination,0
determine,0
determined,3
determining,0
deterred,0
detox,6
detritus,2
detroit,11
deuce,1
deutsch,0
deutschland,0
dev,0
devalued,0
devastate,2
devastating,1
develop,1
developed,5
developing,4
development,3
developments,1
develops,1
devi,1
device,1
devices,0
devil,5
devils,0
devito,0
devolved,0
devon,1
devoted,0
devotional,0
devour,0
dews,0
dewy,0
dey,5
df,2
dg,1
dh,0
dhaka,1
dharam,0
dharma,1
di,7
dia,1
diabetes,2
diabetic,0
diabolical,0
diagnose,1
diagnosed,0
diagnosis,0
diagonal,0
dial,2
dialogue,0
dialysis,2
diamond,2
diamonds,0
diane,1
diaper,1
diapers,1
diaries,12
diary,3
dias,0
diaspora,1
diavolo,0
diaz,0
dich,0
dicht,0
dick,1
dickinson,0
dictate,0
dictator,1
dictionary,0
diddy,2
didi,2
didnt,1
die,15
died,21
diego,6
diehl,1
dies,4
diesel,1
diet,13
differ,0
difference,6
differences,3
differently,1
difficult,9
difficulties,0
difficulty,2
dig,0
digest,0
digging,1
digit,1
digital,14
digitally,1
digitisation,0
digressing,0
dike,0
dil,0
dildo,1
dilemma,1
dilemmas,0
diligently,5
dill,0
dim,1
dimas,0
dimension,0
din,0
dinah,0
dine,0
diner,0
dingle,1
dining,6
dinner,35
dinners,3
dino,0
dinosaur,1
dinosaurs,1
dint,1
dip,1
diploma,0
diplomatic,0
dipped,1
dipping,1
dips,0
dire,0
direct,4
directed,4
direction,0
directional,0
directions,4
directive,0
directives,2
director,6
directors,1
directory,0
dirt,0
dirty,8
dis,5
disabilities,1
disability,1
disadvantaged,0
disappear,1
disappeared,0
disappears,1
disappoint,1
disappointed,2
disappointing,0
disappointment,0
disaster,2
disasters,2
disastrous,1
disc,0
discarded,1
discards,1
discharge,0
discharged,1
disciples,0
discipline,3
disciplined,0
disclaimer,0
disclose,0
disclosure,0
disco,0
disconnect,0
disconnection,0
discontinued,1
discord,1
discount,29
discounted,3
discouraging,0
discover,4
discovered,3
discoveries,0
discovers,0
discovery,2
discriminate,1
discrimination,2
discus,0
discuss,12
discussed,1
discusses,0
discussing,1
discussion,3
disdain,0
disease,36
diseased,0
diseases,1
disfigured,0
disgrace,1
disguise,1
disguised,0
disgust,0
disgusting,1
dish,5
dishes,2
dishwasher,0
dishwashing,0
disinfectant,3
disinfecting,2
disinformation,0
disingenuous,1
disk,1
dislike,0
dismantling,1
disney,7
disneyland,1
disneys,0
disobeying,1
disoriented,0
disparities,0
disparity,0
dispatch,2
dispatched,2
dispel,1
dispensation,0
dispense,0
dispiriting,1
displaced,0
displacement,0
display,0
displayed,2
displaying,0
disposable,9
disposal,2
dispose,0
disproportionate,1
disproportionately,0
dispute,1
disregard,2
disrespect,0
disrespected,0
disrespectful,0
disrupted,2
disruption,0
disruptions,0
disruptive,0
diss,0
dissapointment,0
disseminate,1
dissertation,1
distance,22
distanced,0
distances,1
distancing,70
distant,3
distantly,0
distasteful,0
distillery,0
distilling,1
distinction,0
distract,0
distracted,0
distraction,3
distractions,0
distribute,2
distributed,5
distributing,0
distribution,4
distributors,0
district,12
districts,0
disturbance,0
disturbed,1
disturbing,0
ditch,1
dithering,1
ditmas,1
ditto,0
ditty,0
div,0
diva,0
divas,3
dive,1
diver,0
divergent,0
divers,0
diversion,1
diversity,1
divert,0
divide,1
divided,2
divider,1
divine,1
diviner,0
diving,0
divinity,1
division,5
divo,1
divorce,0
divorced,0
diwali,0
dix,0
dixon,0
diy,8
diya,1
dj,19
djs,0
dk,1
dle,0
dm,34
dmd,0
dmv,14
dmx,1
dna,1
dnc,1
dnd,2
doable,1
doc,3
dock,0
docklands,0
docks,0
docs,0
doctor,23
doctoral,0
doctors,22
docu,0
document,0
documentary,3
documented,3
documenting,1
documents,0
doddle,0
dodge,0
dodging,0
dodo,0
doe,0
doen,1
doer,1
doers,0
doesnt,0
dog,26
dogg,1
doggie,0
doggies,0
dogging,1
dogood,0
dogs,12
doh,1
doi,1
doin,5
dojo,0
dolan,0
doll,1
dollar,22
dollars,0
dolled,0
dolls,0
dolores,0
dolphin,0
dolphins,0
dom,0
domain,0
dome,2
domestic,4
domesticated,0
domestication,0
domicile,1
dominant,0
dominated,0
dominates,0
domination,0
dominic,1
dominican,0
dominion,1
dominique,0
domino,1
donald,7
donate,30
donated,21
donates,0
donating,11
donation,10
donations,3
doncaster,2
donkey,0
donna,1
donner,0
donor,3
donors,2
donot,1
dont,9
donut,2
donuts,1
doodle,3
doodled,1
doodling,1
dookie,1
doom,1
doomed,0
doomsday,1
doon,0
door,3
doordarshan,0
doorknobs,0
doorman,0
doors,3
doorstep,3
doozy,0
dope,2
dor,1
dora,0
dorado,0
doris,2
dorking,0
dorm,1
dormitory,0
dorms,0
dorset,0
dos,2
dose,0
doses,1
dot,0
dots,0
dott,0
dotted,0
double,134
doubled,0
doubles,1
doubling,3
doubt,1
doubtful,0
doubting,1
dough,0
doughnuts,0
downing,0
download,7
downloaded,1
downs,2
downside,0
downsize,0
downtime,2
downtown,10
downturn,0
dozen,1
dozens,2
dp,2
dpp,1
dq,0
dr,32
draconian,0
